KEGG Pathway and Enzyme ID	Gene name
	MT-ND1
00190+7.1.1.2	MT-ND2
00190+1.9.3.1	MT-CO1
	MT-CO2
	MT-ATP8
	MT-ATP6
	MT-CO3
	MT-ND3
	MT-ND4L
00190+7.1.1.2	MT-ND4
00190+7.1.1.2	MT-ND5
	MT-ND6
	MT-CYB
	CDKN1C
	KLF13
	MPV17L
	CDKN1C
	KLF13
	MPV17L
	CDKN1C
	KLF13
	CDKN1C
	MPV17L
	SMIM34B
	SMIM34B
	SMIM34B
	KCNE1B
	CNOT3
	CNOT3
	KCNE1B
	KCNE1B
	KCNE1B
	CNOT3
	CNOT3
	CNOT3
	LENG1
	MARF1
	MARF1
	MARF1
	MARF1
	MARF1
	MARF1
	DNAJA3
	CHGA
	CHGA
	DNAJA3
	PDK3
	MARF1
	DNAJA3
	CHGA
	PDK3
	TTYH1
	DNAJA3
	TTYH1
	TTYH1
	TTYH1
	DNAJA3
	PDK3
	DNAJA3
	BMERB1
	BMERB1
	PAXBP1
	BMERB1
	BMERB1
	BMERB1
	PAXBP1
	BMERB1
	TTYH1
	BMERB1
	AC243733.1
	AC243733.1
	AC243733.1
	OR2AG2
	OR2AG2
	CDH9
	OR2AG2
	CDH9
	CDH9
	OR2AG1
	OR2AG1
	PRAME
	TMC4
	PRAME
	PRAME
	TMC4
	PRAME
	PRAME
	PRAME
	TMEM106B
	PRAME
	TMEM106B
	TMEM106B
	PRAME
	TMEM106B
	TMEM106B
	PRAME
	FP565260.4
	DNAJC27
	GOLGA6L22
	GOLGA6L22
	DNAJC27
	OTUD7A
	OTUD7A
	OTUD7A
	DNAJC27
	IAH1
	ARMC10
	IAH1
	ARMC10
	C21orf62
	ARMC10
	C21orf62
	C21orf62
	ARMC10
	C21orf62
	ARMC10
	OR11A1
	ARMC10
	OR11A1
	ARMC10
	OR11A1
	GABRA5
	GABRA5
	TRIM26
	GABRA5
	OR10C1
	OR10C1
	GABRA5
	GABRA5
	GABRA5
	GABRA5
	OR5V1
	OR5V1
	OR5V1
	GABRA5
	GABRA5
	TRIM26
	TRIM26
	TRIM26
	TRIM26
	TRIM26
	OR12D3
	OR12D3
	IAH1
	OR12D2
	IAH1
	OR6A2
	FP565260.3
	OR6A2
	FP565260.3
	FP565260.3
	IAH1
	FP565260.3
	NAPEPLD
	IAH1
	IAH1
	NAPEPLD
	FP565260.3
	IAH1
	IAH1
	NAPEPLD
	NAPEPLD
	NAPEPLD
	NAPEPLD
	NAPEPLD
	NAPEPLD
	ZNF214
	FP565260.2
	SLC23A2
	ZNF214
	OR2D3
	SLC23A2
	SLC23A2
00240+2.7.4.6	NME8
00230+2.7.4.6	NME8
00983+2.7.4.6	NME8
	GATD3B
	GATD3B
	NME8
00240+2.7.4.6	NME8
00230+2.7.4.6	NME8
00983+2.7.4.6	NME8
00240+2.7.4.6	NME8
00230+2.7.4.6	NME8
00983+2.7.4.6	NME8
	ADAM17
	NME8
	ZNF215
	GABRB3
	ZNF215
	ZNF215
	SLC22A18
	ZNF215
	GABRB3
	GATD3B
	ZNF215
	SLC22A18
	SLC22A18
	ADAM17
	SLC22A18
	ZNF215
	SLC22A18
	GATD3B
	ADAM17
	GATD3B
	ADAM17
	ADAM17
	GABRB3
	GATD3B
	OR10A5
	GATD3B
	GABRB3
	OR2D2
	SFRP4
	ADAM17
	GABRB3
	OR10A4
	SFRP4
	ADAM17
	GABRB3
	OR10A2
	GABRB3
	EPDR1
	OR10A2
	GABRB3
	HIST1H2BL
	GABRB3
	EPDR1
	GABRB3
	FAM8A1
	EPDR1
	HIST1H2AI
	FP565260.1
	EPDR1
	FP565260.1
	HIST1H3H
	GABRB3
	GPR141
	GPR141
	FP565260.1
	GPR141
	FP565260.1
	HIST1H1B
	HIST1H2AL
	AKAP17A
	GABRB3
	HIST1H4K
	GABRB3
	AKAP17A
	HIST1H3I
	AKAP17A
	HIST1H2AK
	DUOXA1
	KLHL7
	DUOXA1
	PPP4R4
	HIST1H2BM
	DUOXA1
	HIST1H2AM
	DUOXA1
	DUOXA1
	DUOXA1
	HIST1H4J
	HIST1H3J
	DUOXA1
	DUOXA1
	DUOXA1
	HIST1H4L
	DUOXA1
	DUOXA1
	HIST1H2AJ
	DUOXA1
	DUOXA1
	VWDE
00930+3.1.1.17	RGN
00053+3.1.1.17	RGN
00030+3.1.1.17	RGN
	HIST1H2BN
	CPXM1
	PPP4R4
	DUOXA1
	HIST1H2BN
	PPP4R4
	HIST1H2BN
00930+3.1.1.17	RGN
00053+3.1.1.17	RGN
00030+3.1.1.17	RGN
	VWDE
	PPP4R4
	PPP4R4
	HIST1H2BN
	VWDE
	VWDE
	VWDE
00930+3.1.1.17	RGN
00053+3.1.1.17	RGN
00030+3.1.1.17	RGN
00930+3.1.1.17	RGN
00053+3.1.1.17	RGN
00030+3.1.1.17	RGN
	VWDE
	SHF
	VWDE
	KLHL7
	ITPRID1
	ITPRID1
	KLHL7
	SHF
	SHF
	IGLV2-33
	SHF
	KLHL7
	SHF
00562+2.7.1.134+2.7.1.159	ITPK1
04070+2.7.1.159	ITPK1
	FYB1
	KLHL7
00562+2.7.1.134+2.7.1.159	ITPK1
04070+2.7.1.159	ITPK1
	SHF
	ITPRID1
00562+2.7.1.134+2.7.1.159	ITPK1
04070+2.7.1.159	ITPK1
	KLHL7
	ITPRID1
	CGREF1
00562+2.7.1.134+2.7.1.159	ITPK1
04070+2.7.1.159	ITPK1
	SHF
	ITPRID1
	SHF
	ITPRID1
	SHF
	CDK7
	ITPRID1
	ITPRID1
	SHF
00562+2.7.1.134+2.7.1.159	ITPK1
04070+2.7.1.159	ITPK1
00562+2.7.1.134+2.7.1.159	ITPK1
04070+2.7.1.159	ITPK1
	CGREF1
00562+2.7.1.134+2.7.1.159	ITPK1
04070+2.7.1.159	ITPK1
00562+2.7.1.134+2.7.1.159	ITPK1
04070+2.7.1.159	ITPK1
	OR2H1
	CGREF1
	FYB1
	OR2H1
	OR2H1
	CGREF1
	IGLV3-32
	CGREF1
	OR2H1
	DUOXA2
	CGREF1
	CGREF1
	CGREF1
	MYL9
	DUOXA2
	MYL9
	IGHV1OR15-9
	FYB1
	SERPINA10
	SERPINA10
	NMRAL1
	NMRAL1
	NMRAL1
	DUOX2
	NMRAL1
	NMRAL1
	CDK7
	MBOAT7
	NMRAL1
	DLGAP4
	NMRAL1
	MBOAT7
	RPAP1
	NMRAL1
	NMRAL1
	RPAP1
	DUOX2
	CDK7
	SIGIRR
	NMRAL1
	RPAP1
	NMRAL1
	CDK7
	CDK7
00051+2.7.1.3	KHK
	SIGIRR
	DLGAP4
	CDK7
	MBOAT7
	RPAP1
00051+2.7.1.3	KHK
	CDK7
	CDK7
	MBOAT7
	CDK7
00051+2.7.1.3	KHK
	CDK7
	RPAP1
	RPAP1
	CDK7
	CDK7
	MBOAT7
	FYB1
	MAS1L
	IGHV3OR15-7
